RouteID,Route,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105752602,Footloose,2018-05-16,Sport,0,5.10a,G,2.1,1,Onsight/Flash,1
105752788,The Crack of Dawn,2017-10-21,Sport,0,5.10b,G,3.5,1,Onsight/Flash,1
105752836,War In The Banks,2022-04-02,Sport,0,5.10b,G,2.5,1,Onsight/Flash,1
105752845,Third Stage,2022-03-12,Sport,0,5.10b/c,G,2.6,1,Onsight/Flash,1
105752878,The List,2021-01-16,Sport,0,5.10b/c,G,2.6,1,Onsight/Flash,1
105752887,Metropolis,2024-12-22,Sport,0,5.11d,G,3.4,1,Onsight/Flash,1
105752890,Time Square,2023-04-23,Sport,0,5.8,G,1.8,1,Onsight/Flash,1
105752899,Flashback To Acid Beach,2020-12-24,Sport,0,5.10d,G,2.6,1,Redpoint,2
105752908,Graceland,2020-12-24,Sport,0,5.11d,G,3.1,1,Redpoint,2
105752914,The Mural,2019-01-19,Sport,0,5.12b,G,3.6,1,Redpoint,2
105752917,Freeform,2021-10-30,Sport,0,5.12a,G,3.9,1,Fell/Hung,1
105752923,Helter Skelter,2023-03-11,Sport,0,5.12a,G,3.2,1,Onsight/Flash,1
105753028,John Cruiser Meloncrimp,2019-01-19,Sport,0,5.10b,G,2.6,1,Onsight/Flash,1
105753190,Bullet The Brown Cloud,2018-11-10,Sport,0,5.11b/c,G,2.5,1,Fell/Hung,1
105753265,Northwest Corner,2016-10-20,Trad,0,5.11-,G,3.2,1,Onsight/Flash,1
105753295,Defenseless Betty,2018-09-01,Sport,0,5.12a,G,3.4,1,Redpoint,5
105753328,Pinch Fest,2018-05-20,Sport,0,5.12b,G,3.5,1,Fell/Hung,2
105753379,Community Service,2017-10-08,Sport,0,5.11c,G,2.9,1,Redpoint,3
105753391,80 Feet of Meat,2018-07-07,Sport,0,5.11b,G,3.1,1,Onsight/Flash,1
105753394,Merry Maids,2019-04-27,Sport,0,5.10a,G,2.9,1,Onsight/Flash,1
105753412,Captain America,2018-10-22,Sport,0,5.10a,G,2.3,1,Onsight/Flash,1
105753502,Pile Driver,2019-04-27,Sport,0,5.11b,G,2.7,1,Fell/Hung,1
105753538,Wadsworth Boulevard,2020-02-01,Sport,0,5.10c,G,2.8,1,Onsight/Flash,1
105753541,Pick a Peck of Perfect Pulling Pockets,2024-11-30,Sport,0,5.11d,G,2.9,1,Redpoint,2
105753562,Pedestrian Gene Pool,2023-03-11,Sport,0,5.11a/b,G,3.0,1,Onsight/Flash,1
105753628,Choss Temple Pilots,2021-09-18,Sport,0,5.11b,G,2.7,1,Onsight/Flash,1
105753655,C++,2020-08-30,Trad,0,5.11d,G,3.9,1,Fell/Hung,1
105753667,Hurl Jam,2021-09-18,Sport,0,5.11d,G,2.5,1,Fell/Hung,1
105753757,Primer,2022-06-18,Sport,0,5.11b,G,2.4,1,Onsight/Flash,1
105753805,Slabbed Up-Side da Head,2020-09-07,Sport,0,5.11a,G,2.6,1,Onsight/Flash,1
105753832,Rehabilitator,2023-10-27,Sport,0,5.11d,G,3.4,1,Redpoint,2
105753838,Fist Full of Dollars,2018-07-01,Sport,0,5.11c,G,2.9,1,Fell/Hung,1
105753856,Return to Sender (aka Cap-gun),2021-09-04,Sport,0,5.12a,G,2.9,1,Redpoint,3
105753880,Fantasia,2024-11-30,Sport,0,5.11c,G,3.1,1,Onsight/Flash,1
105753910,Not My Cross To Bear,2018-10-22,Sport,0,5.11b,G,3.8,1,Fell/Hung,1
105753934,Motley Cruise,2021-09-19,Sport,0,5.11b,G,2.7,1,Onsight/Flash,1
105753940,Cold Cuts,2021-09-18,Sport,0,5.11a,G,2.7,1,Onsight/Flash,1
105753952,Popular Demand,2018-05-27,Sport,0,5.10c,G,2.6,1,Onsight/Flash,1
105753994,Redneck Hero,2023-07-16,Sport,0,5.12a,G,3.8,1,Onsight/Flash,1
